Var1	Freq	Fast	Duplication	Intron1loss	Intron2loss	HardCodingCodon187	HardCodingCodon28	LossofSer	LossofHis	LossofAsp
Xerophyllum_tenax	0.736434	0	0	0	0	0	0	0	0	0
Pseudophoenix_vinifera	0.736446	0	0	0	0	0	0	0	0	0
Syagrus_coronata	0.736454	0	0	0	0	0	0	0	0	0
Dasypogon_bromeliifolius	0.736455	0	0	0	0	0	0	0	0	0
Heliconia_collinsiana	0.736455	0	0	0	0	0	0	0	0	0
Typha_latifolia	0.736456	0	0	0	0	0	1	0	0	0
Sabal_domingensis	0.74198	0	0	0	0	0	1	0	0	0
Phoenix_dactylifera	0.74198	0	0	0	0	0	1	0	0	0
Bismarckia_nobilis	0.74198	0	0	0	0	0	1	0	0	0
Metanarthecium_luteoviride	0.742043	0	0	0	0	1	0	0	0	0
Platanus_occidentalis	0.742131	0	0	0	0	0	0	0	0	0
Goodyera_fumata	0.747422	0	0	0	0	0	0	0	0	0
Polygonatum_cyrtonema	0.747432	0	0	0	0	0	1	0	0	0
Dendrobium_catenatum	0.747434	0	0	0	0	0	0	0	0	0
Elleanthus_sodiroi	0.747438	0	0	0	0	0	0	0	0	0
Colpothrinax_cookii	0.747532	0	0	0	0	0	1	0	0	0
Podococcus_barteri	0.747535	0	0	0	0	0	0	0	0	0
Euptelea_pleiosperma	0.747696	0	0	0	0	0	0	0	0	0
Nelumbo_lutea	0.747828	0	0	0	0	0	0	0	0	0
Carludovica_palmata	0.747833	0	0	0	0	0	0	0	0	0
Colocasia_esculenta	0.747869	0	0	0	0	1	1	0	0	0
Pinellia_ternata	0.747869	0	0	0	0	1	1	0	0	0
Drimys_granadensis	0.748039	0	0	0	0	0	0	0	0	0
Chloranthus_spicatus	0.748202	0	0	0	0	0	0	0	0	0
Bletilla_striata	0.752906	0	0	0	0	0	0	0	0	0
Sobralia_callosa	0.752908	0	0	0	0	0	0	0	0	0
Cypripedium_macranthos	0.752908	0	0	0	0	0	1	0	0	0
Cattleya_crispata	0.752913	0	0	0	0	0	1	0	0	0
Habenaria_pantlingiana	0.752984	0	0	0	0	0	0	0	0	0
Phragmipedium_longifolium	0.753142	0	0	0	0	0	0	0	0	0
Wolffia_australiana	0.753523	0	0	0	0	1	1	0	0	0
Lemna_minor	0.753523	0	0	0	0	1	1	0	0	0
Ananas_comosus	0.753564	0	0	0	0	0	1	0	0	0
Meliosma_aff	0.753771	0	0	0	0	0	0	0	0	0
Machilus_yunnanensis	0.753824	0	0	0	0	1	0	0	0	0
Magnolia_kwangsiensis	0.758218	0	0	0	0	0	1	0	0	0
Oncidium_hybrid	0.758378	0	0	0	0	0	0	0	0	0
Elaeis_guineensis	0.758741	0	0	0	0	0	0	0	0	0
Bomarea_edulis	0.758807	0	0	0	0	0	1	0	0	0
Calamus_caryotoides	0.75881	0	0	0	0	0	0	0	0	0
Trochodendron_aralioides	0.759109	0	0	0	0	0	0	0	0	0
Veratrum_patulum	0.759129	0	0	0	0	1	1	0	0	0
Spirodela_polyrhiza	0.759192	0	0	0	0	1	1	0	0	0
Calycanthus_floridus	0.75923	0	0	0	0	0	0	0	0	0
Tetracentron_sinense	0.759261	0	0	0	0	0	0	0	0	0
Sinopodophyllum_hexandrum	0.760299	0	0	0	0	0	1	0	0	0
Nymphaea_alba	0.761929	0	0	0	0	0	0	0	0	0
Nuphar_advena	0.761929	0	0	0	0	0	0	0	0	0
Allium_cepa	0.763958	0	0	0	0	0	1	0	0	0
Cymbidium_aloifolium	0.76398	0	0	0	0	0	0	0	0	0
Iris_gatesii	0.764154	0	0	0	0	0	0	0	0	0
Luzuriaga_radicans	0.764344	0	0	0	0	0	1	0	0	0
Heloniopsis_tubiflora	0.764345	0	0	0	0	0	0	0	0	0
Lilium_hansonii	0.764666	0	0	0	0	0	0	0	0	0
Wolffiella_lingulata	0.764938	0	0	0	0	1	1	0	0	0
Dieffenbachia_seguine	0.765032	0	0	0	0	1	1	0	0	0
Liriodendron_tulipifera	0.765294	0	0	0	0	0	1	0	0	0
Pachysandra_terminalis	0.765582	0	0	0	0	0	0	0	0	0
Thalictrum_coreanum	0.7658	0	0	0	0	0	0	0	0	0
Megaleranthis_saniculifolia	0.765858	0	0	0	0	0	0	0	0	0
Nandina_domestica	0.765945	0	0	0	0	0	1	0	0	0
Erycina_pusilla	0.769612	0	0	0	0	0	0	0	0	0
Fritillaria_cirrhosa	0.770225	0	0	0	0	0	0	0	0	0
Macadamia_integrifolia	0.770484	0	0	0	0	0	0	0	0	0
Piper_cenocladum	0.770781	0	0	0	0	0	0	0	0	0
Ceratophyllum_demersum	0.771427	0	0	0	0	0	1	0	0	0
Clematis_terniflora	0.771464	0	0	0	0	0	0	0	0	0
Cryophytum_crystallinum	0.772384	0	0	0	0	0	1	0	0	0
Buxus_microphylla	0.77259	0	0	0	0	0	0	0	0	0
Illicium_oligandrum	0.774811	0	0	0	0	0	0	0	0	0
